EventID,Layer,Wire,t,ADC,t0,isSignal
285,0,15,565.688,143,0,0
1701133,0,15,1693.12,121,0,0
1701241,0,15,302.25,109,0,0
1701442,0,15,764.812,332,0,0
3325662,0,15,1844.44,398,0,0
89,0,16,246.75,336,0,0
113,0,16,1261.69,128,0,0
164,0,16,1861.5,591,0,0
189,0,16,1303.88,2487,0,0
198,0,16,158.438,482,0,0
263,0,16,882,301,0,0
280,0,16,1407.75,214,0,0
285,0,16,93.1875,339,0,0
302,0,16,690.75,780,0,0
1701442,0,16,734.438,1214,0,0
3325496,0,16,942.938,288,0,0
3325523,0,16,1743.56,144,0,0
3325662,0,16,1872,255,0,0
89,0,17,176.438,274,0,0
113,0,17,1503.75,108,0,0
189,0,17,1304.62,836,0,0
198,0,17,1327.12,1617,0,0
263,0,17,722.25,620,0,0
302,0,17,672.938,829,0,0
1701133,0,17,1673.62,154,0,0
1701424,0,17,1042.12,492,0,0
1701442,0,17,712.312,588,0,0
3325489,0,17,1765.69,328,0,0
3325496,0,17,757.875,231,0,0
3325523,0,17,1580.06,220,0,0
89,0,18,205.688,188,0,0
137,0,18,1890.38,262,0,0
189,0,18,1363.88,360,0,0
198,0,18,1310.25,194,0,0
252,0,18,1699.5,1907,0,0
263,0,18,779.062,97,0,0
291,0,18,229.125,146,0,0
1701442,0,18,715.125,558,0,0
3325489,0,18,1808.62,240,0,0
3325523,0,18,1571.62,447,0,0
89,0,19,328.688,352,0,0
145,0,19,1650.38,263,0,0
198,0,19,1311.56,1026,0,0
252,0,19,1615.88,1083,0,0
291,0,19,708,646,0,0
400,0,19,1926.94,247,0,0
1701108,0,19,851.062,682,0,0
3325489,0,19,1706.25,386,0,0
19,0,20,123.188,1436,0,0
113,0,20,1182.56,345,0,0
145,0,20,1587.75,702,0,0
198,0,20,1305.75,1149,0,0
245,0,20,309.938,211,0,0
302,0,20,616.125,1384,0,0
400,0,20,1784.44,1210,0,0
421,0,20,288.375,83,0,0
3325489,0,20,1681.69,636,0,0
19,0,21,158.25,1192,0,0
57,0,21,142.125,147,0,0
113,0,21,1251.56,178,0,0
145,0,21,1661.44,299,0,0
198,0,21,1399.12,700,0,0
291,0,21,448.312,164,0,0
302,0,21,635.25,679,0,0
321,0,21,1146.19,192,0,0
377,0,21,587.812,205,0,0
400,0,21,1884.75,190,0,0
408,0,21,824.062,166,0,0
421,0,21,327.562,431,0,0
1701133,0,21,1570.31,322,0,0
1701280,0,21,1014.94,993,0,0
1701386,0,21,1459.88,701,0,0
1701424,0,21,1097.81,219,0,0
1701455,0,21,1839,85,0,0
3325435,0,21,852.938,152,0,0
3325489,0,21,1732.5,238,0,0
3325496,0,21,718.312,953,0,0
19,0,22,115.5,266,0,0
57,0,22,162,116,0,0
113,0,22,1363.5,99,0,0
145,0,22,1743.56,604,0,0
